instruction,intent,instruction_hi,intent_hi
question about cancelling order {{Order Number}},cancel_order,आदेश रद्द करने के बारे में प्रश्न {{ऑर्डर नंबर}},आदेश रद्द
i have a question about cancelling oorder {{Order Number}},cancel_order,मेरे पास oorder {{ऑर्डर नंबर}} रद्द करने के बारे में एक प्रश्न है,आदेश रद्द
i need help cancelling puchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
I need to cancel purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने की आवश्यकता है {{ऑर्डर नंबर}}},आदेश रद्द
"I cannot afford this order, cancel purchase {{Order Number}}",cancel_order,"मैं इस आदेश को बर्दाश्त नहीं कर सकता, खरीदें {{ऑर्डर नंबर}}",आदेश रद्द
can you help me cancel order {{Order Number}}?,cancel_order,क्या आप मुझे आदेश {{ऑर्डर नंबर}} रद्द करने में मदद कर सकते हैं?,आदेश रद्द
"I can no longer afford order {{Order Number}}, cancel it",cancel_order,"मैं अब आदेश {{ऑर्डर नंबर}} को बर्दाश्त नहीं कर सकता, इसे रद्द करें",आदेश रद्द
I am trying to cancel purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने की कोशिश कर रहा हूं {{ऑर्डर नंबर}}},आदेश रद्द
I have got to cancel purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के लिए मिला है {{ऑर्डर नंबर}}},आदेश रद्द
i need help canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
i dont know what to do to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर को रद्द करने के लिए क्या करना है {{ऑर्डर नंबर}},आदेश रद्द
I have a problem with cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में समस्या है {{ऑर्डर नंबर}},आदेश रद्द
problem with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्या {{ऑर्डर नंबर}},आदेश रद्द
can you help me canceling order {{Order Number}}?,cancel_order,क्या आप मुझे आदेश {{ऑर्डर नंबर}} रद्द करने में मदद कर सकते हैं?,आदेश रद्द
help  me canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
can you help me cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे खरीदने में मदद कर सकते हैं {{ऑर्डर नंबर}}?,आदेश रद्द
what do I have to do to cancel purchase {{Order Number}}?,cancel_order,खरीद को रद्द करने के लिए मुझे क्या करना होगा {{ऑर्डर नंबर}}?,आदेश रद्द
"I bought the same item twice, cancel order {{Order Number}}",cancel_order,"मैंने एक ही आइटम को दो बार खरीदा, ऑर्डर रद्द करें {{ऑर्डर नंबर}}}",आदेश रद्द
need help with canceling order {{Order Number}},cancel_order,आदेश रद्द करने के साथ मदद की आवश्यकता है {{आदेश संख्या}}},आदेश रद्द
i want assistance canceling order {{Order Number}},cancel_order,मैं सहायता रद्द करने के आदेश को रद्द करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
I'm trying to cancel order {{Order Number}},cancel_order,मैं ऑर्डर {{ऑर्डर नंबर}} को रद्द करने का प्रयास कर रहा हूं,आदेश रद्द
i have problems with canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने की समस्या है {{ऑर्डर नंबर}},आदेश रद्द
assistance with cancelling pucrhase {{Order Number}},cancel_order,खरीद रद्द करने के साथ सहायता {{ऑर्डर नंबर}},आदेश रद्द
need help with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ मदद की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
help cnceling order {{Order Number}},cancel_order,ऑर्डर रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
i want assistance cancelling order {{Order Number}},cancel_order,मैं सहायता रद्द करने के आदेश को रद्द करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
need assistance cancelling order {{Order Number}},cancel_order,सहायता रद्द करने की आवश्यकता है आदेश {{आदेश संख्या}},आदेश रद्द
problem with cancelling order {{Order Number}},cancel_order,ऑर्डर रद्द करने के साथ समस्या {{ऑर्डर नंबर}},आदेश रद्द
assistnace cancelling order {{Order Number}},cancel_order,सहायता रद्द करने का आदेश {{ऑर्डर नंबर}},आदेश रद्द
have a problem with canceling order {{Order Number}},cancel_order,आदेश रद्द करने के साथ एक समस्या है {{आदेश संख्या}},आदेश रद्द
i need help with canceling purchase {{Order Number}},cancel_order,मुझे खरीद को रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
assistance with cancelling pucrhase {{Order Number}},cancel_order,खरीद रद्द करने के साथ सहायता {{ऑर्डर नंबर}},आदेश रद्द
want assistance to cancel order  {{Order Number}},cancel_order,आदेश रद्द करने के लिए सहायता चाहते हैं {{ऑर्डर नंबर}},आदेश रद्द
i do not know how i can cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं कैसे खरीद को रद्द कर सकता हूं {{ऑर्डर नंबर}},आदेश रद्द
need assistance to cancel order {{Order Number}},cancel_order,आदेश को रद्द करने के लिए सहायता की आवश्यकता है {{आदेश संख्या}},आदेश रद्द
can you help me cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे खरीदने में मदद कर सकते हैं {{ऑर्डर नंबर}}?,आदेश रद्द
I can no longer afford purchase {{Order Number}},cancel_order,मैं अब खरीदारी नहीं कर सकता {{ऑर्डर नंबर}}},आदेश रद्द
i need assistance canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
I would like to cancel purchase {{Order Number}},cancel_order,मैं खरीद {{ऑर्डर नंबर}} को रद्द करना चाहूंगा,आदेश रद्द
i do not want these article i try to cancel order {{Order Number}},cancel_order,मैं नहीं चाहता कि ये लेख मैं आदेश {{ऑर्डर नंबर}} को रद्द करने का प्रयास करें,आदेश रद्द
i need help to cancel purchase {{Order Number}},cancel_order,मुझे खरीद को रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}}},आदेश रद्द
I have got to cancel purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के लिए मिला है {{ऑर्डर नंबर}}},आदेश रद्द
problems with cancelling order {{Order Number}},cancel_order,आदेश रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}},आदेश रद्द
I need help canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
assistance canceling purchase {{Order Number}},cancel_order,सहायता रद्द खरीद {{ऑर्डर नंबर}},आदेश रद्द
could ya help me cancel order {{Order Number}},cancel_order,क्या आप मुझे ऑर्डर {{ऑर्डर नंबर}} रद्द करने में मदद कर सकते हैं,आदेश रद्द
could you help me cancelling order {{Order Number}} ?,cancel_order,क्या आप मुझे ऑर्डर {{ऑर्डर नंबर}} रद्द करने में मदद कर सकते हैं?,आदेश रद्द
cance order {{Order Number}},cancel_order,रद्द करें आदेश {{ऑर्डर नंबर}},आदेश रद्द
assistance cancelling purchase {{Order Number}},cancel_order,सहायता रद्द खरीद {{ऑर्डर नंबर}},आदेश रद्द
assistance with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ सहायता {{ऑर्डर नंबर}},आदेश रद्द
canceling order {{Order Number}},cancel_order,रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
how to cancel order {{Order Number}},cancel_order,ऑर्डर {{ऑर्डर नंबर}} कैसे रद्द करें,आदेश रद्द
help me cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
have a question about cancelling order {{Order Number}},cancel_order,आदेश रद्द करने के बारे में एक प्रश्न है {{ऑर्डर नंबर}},आदेश रद्द
I can't afford purchase {{Order Number}},cancel_order,मैं खरीद नहीं कर सकता {{ऑर्डर नंबर}},आदेश रद्द
assistance with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ सहायता {{ऑर्डर नंबर}},आदेश रद्द
"I ordered some item, cancel purchase {{Order Number}}",cancel_order,"मैंने कुछ आइटम का आदेश दिया, खरीदें {{ऑर्डर नंबर}}",आदेश रद्द
i need help cancelling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
"I can't afford order {{Order Number}}, help me cancelling it",cancel_order,"मैं आदेश नहीं दे सकता {{ऑर्डर नंबर}}, मुझे इसे रद्द करने में मदद करें",आदेश रद्द
I do not know how I can cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं कैसे खरीद को रद्द कर सकता हूं {{ऑर्डर नंबर}},आदेश रद्द
I try to cancel purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने का प्रयास करता हूं {{ऑर्डर नंबर}},आदेश रद्द
problem with cancelling order {{Order Number}},cancel_order,ऑर्डर रद्द करने के साथ समस्या {{ऑर्डर नंबर}},आदेश रद्द
"I cannot pay for the last purchase I have made, cancel it",cancel_order,"मैं अपने द्वारा की गई अंतिम खरीद के लिए भुगतान नहीं कर सकता, इसे रद्द करें",आदेश रद्द
help me cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
could you help me cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे खरीदने में मदद कर सकते हैं {{ऑर्डर नंबर}}?,आदेश रद्द
I want to cancle purchase {{Order Number}},cancel_order,मैं खरीद {{ऑर्डर नंबर}} को रद्द करना चाहता हूं,आदेश रद्द
help me to cancel my  last goddamn purchase,cancel_order,मेरी अंतिम गोड्डम खरीद को रद्द करने में मेरी मदद करें,आदेश रद्द
I have a problem witrh cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में समस्या है {{ऑर्डर नंबर}},आदेश रद्द
can  uhelp me canceling order {{Order Number}},cancel_order,क्या आप मुझे आदेश रद्द करने में मदद कर सकते हैं {{ऑर्डर नंबर}},आदेश रद्द
problems with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}},आदेश रद्द
I need assistancde cancelling order {{Order Number}},cancel_order,मुझे ASSITANCDE रद्द करने की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
"I bought some item, cancel order {{Order Number}}",cancel_order,"मैंने कुछ आइटम खरीदे, ऑर्डर रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
need help with cancelling order {{Order Number}},cancel_order,ऑर्डर को रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
"I can't pay for this item, can I cancel order {{Order Number}}?",cancel_order,"मैं इस आइटम के लिए भुगतान नहीं कर सकता, क्या मैं ऑर्डर {{ऑर्डर नंबर}} को रद्द कर सकता हूं?",आदेश रद्द
I need help cacneling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
where could I cancel purchase {{Order Number}}?,cancel_order,मैं खरीद {{ऑर्डर नंबर}} कहां रद्द कर सकता हूं?,आदेश रद्द
i bought some damn item help to cancep order {{Order Number}},cancel_order,मैंने ऑर्डर {{ऑर्डर नंबर}} को रद्द करने के लिए कुछ लानत आइटम मदद खरीदी,आदेश रद्द
want assistance to cancel order {{Order Number}},cancel_order,आदेश रद्द करने के लिए सहायता चाहते हैं {{ऑर्डर नंबर}},आदेश रद्द
"I have got to cancel purchase {{Order Number}}, help me",cancel_order,"मुझे खरीद रद्द करने के लिए {{ऑर्डर नंबर}}, मेरी मदद करें",आदेश रद्द
whag do i need to do to cancel order {{Order Number}},cancel_order,आदेश {{ऑर्डर नंबर}} को रद्द करने के लिए मुझे क्या करने की आवश्यकता है,आदेश रद्द
I want assistance canceling order {{Order Number}},cancel_order,मैं सहायता रद्द करने के आदेश को रद्द करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
I can no longer afford purchase {{Order Number}},cancel_order,मैं अब खरीदारी नहीं कर सकता {{ऑर्डर नंबर}}},आदेश रद्द
I want assistance to cancel purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने के लिए सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
cancelling order,cancel_order,रद्द करने का आदेश,आदेश रद्द
i want help cancelling purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने में मदद चाहता हूं {{ऑर्डर नंबर}}},आदेश रद्द
what do I have to do to cancel order {{Order Number}}?,cancel_order,ऑर्डर {{ऑर्डर नंबर}} को रद्द करने के लिए मुझे क्या करना होगा?,आदेश रद्द
can you help me to cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे {{ऑर्डर नंबर}} खरीदने में मदद कर सकते हैं?,आदेश रद्द
I need help cancelling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
I do not know how I can cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं कैसे खरीद को रद्द कर सकता हूं {{ऑर्डर नंबर}},आदेश रद्द
i want help to cancel purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने के लिए {{ऑर्डर नंबर}} को रद्द करना चाहता हूं,आदेश रद्द
